source_node,target_node,number_of_removed_directed_edges,mean_removed_edge_distance_A,baseline_prediction,edge_removed_prediction,signed_output_change,absolute_output_change
16,58,2,1.9490379095077515,0.15600550174713135,0.15610486268997192,9.936094284057617e-05,9.936094284057617e-05
12,70,2,1.9490385055541992,0.15600550174713135,0.15610486268997192,9.936094284057617e-05,9.936094284057617e-05
0,58,2,1.9490385055541992,0.15600550174713135,0.15610486268997192,9.936094284057617e-05,9.936094284057617e-05
16,70,2,1.9490433931350708,0.15600550174713135,0.15610486268997192,9.936094284057617e-05,9.936094284057617e-05
23,41,2,1.9490433931350708,0.15600550174713135,0.15592828392982483,-7.721781730651855e-05,7.721781730651855e-05
35,47,2,1.9490379095077515,0.15600550174713135,0.15592828392982483,-7.721781730651855e-05,7.721781730651855e-05
19,39,2,1.9490385055541992,0.15600550174713135,0.15592829883098602,-7.720291614532471e-05,7.720291614532471e-05
33,45,2,1.9490379095077515,0.15600550174713135,0.15605655312538147,5.105137825012207e-05,5.105137825012207e-05
31,51,2,1.9490385055541992,0.15600550174713135,0.15605655312538147,5.105137825012207e-05,5.105137825012207e-05
25,45,2,1.9490385055541992,0.15600550174713135,0.15605655312538147,5.105137825012207e-05,5.105137825012207e-05
25,43,2,1.9490433931350708,0.15600550174713135,0.15605655312538147,5.105137825012207e-05,5.105137825012207e-05
31,43,2,1.9490379095077515,0.15600550174713135,0.15605653822422028,5.103647708892822e-05,5.103647708892822e-05
33,51,2,1.9490433931350708,0.15600550174713135,0.15605653822422028,5.103647708892822e-05,5.103647708892822e-05
14,68,2,1.9490433931350708,0.15600550174713135,0.15601792931556702,1.2427568435668945e-05,1.2427568435668945e-05
8,68,2,1.9490379095077515,0.15600550174713135,0.15601792931556702,1.2427568435668945e-05,1.2427568435668945e-05
8,60,2,1.9490385055541992,0.15600550174713135,0.15601791441440582,1.2412667274475098e-05,1.2412667274475098e-05
